"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 8","typography_body-m__xgxZ_ 9","typography_body-m__xgxZ_ 10"
"MP","https://uk.trustpilot.com/users/58d78fa20000ff000a859e83","M P KIRK","18 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","3 days ago","https://uk.trustpilot.com/reviews/66fc142ca5b08f72d4d253cf","Ombudsman made a decision,and gave…","Ombudsman made a decision,and gave energy company a deadline . Energy company ignored him which is no surprise as he ignores customer even though he found in favour of customer.Wont answer phone won't call back .What is the point of the ombudsman?","23 September 2024","Reply from Energy Ombudsman","2 days ago","Hello,  before we close the dispute, we ask that the supplier provides us with evidence that shows they have implemented the resolutions. We are sorry that this may not be the case. We would advise contacting us directly on tel 0330 440 1624 or email us @ enquiry@energyombudsman.org   and a member of our team will check this for you for you and advise on next steps. Thank you"
"","https://uk.trustpilot.com/users/6516dbce0b8be60012480191","B Smith","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","2 days ago","https://uk.trustpilot.com/reviews/66fd71c952c65c2a6e07a5d7","Help when you need it most","Energy Ombudsman have helped me with two complaints and I found them to be excellent. My case officer did so much work to understand the complexity and provided a fair and unbiased decision. I felt her knowledge and work to be of the highest standard which not only impressed me, but reassured me. I found Energy Ombudsman to be a great asset to us as consumers and would highly recommend using their service if you need to. Fantastic organisation.","02 October 2024","","",""
"LF","https://uk.trustpilot.com/users/528b6f03000064000155cbf9","L F R Woodburn","25 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 2 days ago","https://uk.trustpilot.com/reviews/66f536697f250ac91f93986b","Timescales horrendous","Timescales horrendous, system of communication not user friendly- waste of time using this service NOTE RESPONSE FROM OMBUDSMAN- COLIN? REALLY ? SHOULD CONSIDER MAKING CHANGES WHEN USING CUT N PASTE!!!!","26 September 2024","Reply from Energy Ombudsman","2 days ago","Hello Colin, we're sorry to hear that you have not had a positive experience when using our services. We are continuously looking for ways to improve our services and the feedback we receive is vital in helping us do that, so we appreciate you taking the time to leave us your review. Thank you"
"MA","https://uk.trustpilot.com/users/5a28310b0000ff000aed2328","MR ALAN SWANSTON","12 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","3 days ago","https://uk.trustpilot.com/reviews/66fc32f7d52e51fcd52f2661","I can highly recommend the service…","I can highly recommend the service provided. My complaints had been ignored by the company until the Obbudsman's involvement. The case handler was excellent throughiut the process.","30 September 2024","Reply from Energy Ombudsman","2 days ago","Hi Alan , That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"CU","https://uk.trustpilot.com/users/61a5e5a318339a0012561847","customer","11 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 Sept 2024","https://uk.trustpilot.com/reviews/66f40decd3435ed13911e10f","If you want to poor service read the responses from…","If you want to read the responses from your energy supplier, to the ombudsman, you need access to a desktop computer I only have a smartphone so I was unable to read the responses from my energy supplier I made my ombudsman handler aware of this but they did nothing to help me, which meant I wasn’t able to fully participate in the process. I feel totally let down by the energy ombudsman.","25 September 2024","Reply from Energy Ombudsman","26 Sept 2024","Hello, we're sorry to hear that you have not had a positive experience when using our services. Our team take great care in ensuring that consumers feel supported throughout their journey with us and we are saddened to hear that you feel this wasn't the case. We are continuously looking for ways to improve our services and the feedback we receive is vital in helping us do that, so we appreciate you taking the time to leave us your review. Thank you"
"TH","https://uk.trustpilot.com/users/62a7a4f90ca7ed0012754957","Teresa Howells","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","26 Sept 2024","https://uk.trustpilot.com/reviews/66f564422f26c8693b1e090d","If anyone needs advice and guidance I can highly recommend the Ombudsman Service.","If anyone needs advice and guidance there isn’t a better organisation than The Ombudsman.  When I phoned them initially I was so stressed from my dealings with British Gas, but Nicola Foley who dealt with my case was so sympathetic and understanding and she quickly put me at my ease. She dealt with my case efficiently and professionally and I am so grateful to her.All In all, if I ever need to use the Ombudsman again I would have no hesitation in doing so.","26 September 2024","Reply from Energy Ombudsman","2 days ago","Hi, That's fantastic to hear, We're glad that you had such a positive experience when using our services and that Nicola supported you throughout your dispute with us. Thank you for your review."
"NO","https://uk.trustpilot.com/users/65c36e8a9d46fe0011553be8","No","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","26 Sept 2024","https://uk.trustpilot.com/reviews/66f52ad72da630f57956d621","Get your problem solved","Making a case is odd as a consumer as you don't know the rules that an energy company must adhere.You just you know that something has gone wrong and your problem hasn't been solved. The Ombudsman has helpful staff who keep you informed and this make a great service.Gathering your evidence takes time but you can start your case and add the necessary evidence later.This is easy if you are technically savvy, to put emails and photographs into the correct format but daunting if not.The shocking part is seeing the reply to your case from the energy company, who often manage to twist the truth, which makes it clear why you need an outside party to sort things out. Don't be put off or accept the paltry compensation the energy company offers when you tell them you are using the services of the Ombudsman. Hang in, get your problem solved and find out what compensation you are due.","26 September 2024","Reply from Energy Ombudsman","2 days ago","Hi, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"BT","https://uk.trustpilot.com/users/5ab10ed04de5666d342a6b81","Bob Towns","12 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","Updated 27 Sept 2024","https://uk.trustpilot.com/reviews/66f5b575d71b926e08e1b1ed","SUCCESSFUL OUTCOME - NAIRN LEGION - SSE","I am a pensioner (75) working as a volunteer looking after the utility accounts of my local Royal British Legion Scotland Branch. I was having severe problems with my Gas supplier SSE.  Despite months of emails (mostly unanswered) and numerous telephone calls (which were unproductive), I approached the Energy Ombudsman for assistance.  My case against SSE was upheld by the Energy Ombudsman and adhering to their timelines they found in my favour.  Legion Nairn received a substantial refund, including a goodwill amount of £150 which was suggested by the Energy Ombudsman.  I highly recommend the Energy Ombudsman as a means of settling disputes.  Thank you.","13 August 2024","Reply from Energy Ombudsman","2 days ago","Hi, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"HG","https://uk.trustpilot.com/users/58a591a10000ff000a781e3a","Happy Girl","5 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","7 days ago","https://uk.trustpilot.com/reviews/66f6f78183417de97cb0d4a6","Invaluable support","This is a free service and although I didn't win my complaint, it was very supportive to have someone to listen, explain and make me feel like a human when up against a huge company.","26 September 2024","Reply from Energy Ombudsman","2 days ago","Hi, We appreciate that you may not have had the outcome that you were hoping for however we're glad that you had such a positive experience when using our services and that you was supported  throughout your dispute with us. Thank you for your review."
"HU","https://uk.trustpilot.com/users/65e5a20a9e2d740012f9d210","HUMBERTO","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","19 Sept 2024","https://uk.trustpilot.com/reviews/66ebedf9ef4ba95670512cd9","It's good to know that the Energy Ombudsman is out there","We had a horrible electricity provider who tried to steal from us. Example: They invented an estimated reading for one single month which was almost three times the total  reading of our meter  since 1988!!! But the Energy Ombudsman was excellent and put things right. It's really good, it's really reassuring to know that we still have a few organisations out there which protect citizens against bad companies.","06 September 2024","Reply from Energy Ombudsman","19 Sept 2024","Hi Humberto , That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
