location,customer engagement,rating score,Actual review date,Review Month,Review Quarter,Review Year,review highlight,complete review notes,Ombudsman's response,ombudsman response date,ombudsman's respose notes,Response Duration (in days)
United Kingdom,3,5,28-Dec-21,12,4,2021,As soon as the Ombudsman services got…,As soon as the Ombudsman services got involved  EON accepted my proposals. Excellent service from them.,Yes,29-Dec-21,"Hi Paul, thank you for your review. We're happy you were satisfied with our service and that we were able to help you achieve a resolution to your issue.",1
United Kingdom,1,5,21-Dec-21,12,4,2021,Mis- management of company,"Mis - management                                  I traded my Samsung S9 to Samsung S29+ to EE I sent it through the Royal mails ,collected my receipt which indicated the weight of the item. The phone got lost in transit between the staff of post office   Royal mail  and blackstar. EE decided to charge me for £500 for the phone. I thank Ombudsman company who bail me out of the situation because I have my proof and  they  know that o am not  yo be hold  responsible  for the loss it has started affecting my health.",Yes,22-Dec-21,Hello! It sounds like you had a bit of a nightmare returning your phone! We are glad that we were able to help you! Thank you for your review!,1
United Kingdom,8,5,21-Dec-21,12,4,2021,Resolved by Obudsman,"After being in dispute over my Gas & Electricity Account for some months and unable to resolve, I decided to contact the ombudsman regarding this matter they were most helpful and explained what I needed to do once I received an email from them to set up a case file.Result case resolved in weeks very happy with the decision.",Yes,22-Dec-21,"Hi Denise, we are glad to hear that we were able to get you a quick resolution! Thank you for your review.",1
United Kingdom,10,5,21-Dec-21,12,4,2021,Can’t thank them enough straightforward…,"Can’t thank them enough straightforward process , kept me up to date with the case.",Yes,22-Dec-21,"Hi Keri, You are very welcome! We are glad we were able to help!",1
United Kingdom,3,5,16-Dec-21,12,4,2021,I HAD TROUBLR REGARDING AN ENERGY REBATE PAYMENT,I had trouble in regards to a rebate payment that was owing to me from an energy company I had changed recently left. I had contacted the energy company time after time but they ignored my requests for the refund of my overpayment. Ombudsman took over my case and within weeks investigated and had found the energy company wanting ind in error. After investigating my complaint Ombudsman made their decision and the energy company has to refund me my rebate payment and compensation for all the un necessary problems caused by them,Yes,17-Dec-21,"Hi Terry, thanks for sharing your experience with us! We're glad we were able to help you out in what sounds like a frustrating situation for you.",1
United Kingdom,1,5,15-Dec-21,12,4,2021,Ombudsmaan Services solved my concern…,"Ombudsmaan Services solved my concern with an EDF Energy to a fair outcome to protect my brother who is vulnerable member of the public, the timing, the update & communication all was an excellent. EDF Enegry issued an apology letter and £125 goodwill to my brother who I was his appointee.EDF Energy tried to charge my brother £1,151.26p and refused to listen my concern and told me to contact to Ombudsman Services if I want, I put our case to OS with evidence, within short time, we received justice and fair to pay only £611.54 both we and EDF Energy accepted.  Thanks to Ombudsman Services I will recommend if you feel unfair to try it with Ombudsman Services depending your evidence and honest.",Yes,16-Dec-21,"Hi Mr Jama, thank you so much for leaving such a great review! I'm glad we were able to help you and your brother out and that you were satisfied with the service you received from us.",1
United Kingdom,18,5,14-Dec-21,12,4,2021,So Energy,"Had a problem with so energy, would not recommend so energy to my worst enemy, the ombudsman service has been brilliant, just hoping so energy, stands by the promises, that has been reccomended.",Yes,15-Dec-21,"Hi Derrick, we're happy we were able to help you out when you found yourself in a frustrating situation. Thank you for taking the time to share your experience with us!",1
United Kingdom,5,5,14-Dec-21,12,4,2021,Complaint against energy provider,"I raised a complaint after receiving terrible service by my energy supplier in trying to get meters changed for over 12 months.  After a failed attempt to resolve this through the complaint process with the energy supplier I engaged with the Ombudsman service.It is a straight forward process to register the complaint and to provide evidence.  The system then provides clear dates as to when the complaint will be reviewed by them.  Upon conclusion of their investigation a member of the team phoned me and talked through my complaint to ensure they fully understood it, and then explained their decision, rationale and findings which included payments for missed appointments and compensation for the length of time this issue has been ongoing.  This resulted in the company honouring the next appointment where meters were fitted and me receiving cheques for as stipulated by the Ombudsman findings",Yes,15-Dec-21,"Hi Rachel, thanks for sharing your great review with us! It's lovely to hear we were able to help you finally get a resolution to your case and that the actions have now been implemented by the supplier.",1
United Kingdom,26,5,08-Dec-21,12,4,2021,Excellent service electricity bill of…,"Excellent service electricity bill of 4,000 ended up I was in credit wouldn't never of won if it wasn't for my opening a complaint recommended",Yes,09-Dec-21,"Thank you for your recommendation Lisa, We are glad we were able to help you!",1
United Kingdom,22,5,07-Dec-21,12,4,2021,Our electricity meter stopped…,"Our electricity meter stopped functioning,our electricity supplier doubled our monthly bill,to “ cover extra cost you may incur” but over 1 year in spite of numerous phone calls from us,and promises from them,the never made any attempt to visit and repair or replace.2 days after we contacted the Ombudsman,the company went into receivership.Subsiquently the new company we were assigned to also collapsed.The Ombudsman team continued to process our complaint,and we got awarded for the various problems we had faced,and our new ( much larger) energy company recognised our being over charged,and we ended up with being £2500 in credit.It took over 18 months but all very worth it.",Yes,08-Dec-21,"Hi Barbara, We understand that complaints can take a long time to deal with and we really appreciate your patience. We are glad that you had a positive outcome and we are glad we were able to help you! Thanks",1
